task_name,university,school_year,course_name,course_code,credit,task_mode,task_type,task_weight_percent,due_date,due_time,time_required_hours,difficulty,current_date_(today),#_days_left,current_progress_percent,time_spent_hours,priority_level
Assignment 3,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-11-15,11:59 pm,18.0,5.0,2023-11-11,4,10.0,0.0,5
Quiz 7,McMaster University,4,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Individual,Quiz,4.29,2023-11-13,11:59 pm,0.25,2.0,2023-11-12,1,0.0,0.0,3
Project Part II: Case Study,McMaster University,4,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Group,Project,5.0,2023-11-17,11:59 pm,2.0,3.0,2023-11-12,5,0.0,0.0,3
Lab 2/PPA2,McMaster University,2,Principles of Programming,COMPENG 2SH4,4,Individual,Lab,10.0,2023-10-27,11:59 pm,12.0,4.0,2023-10-20,7,50.0,12.0,5
Assignment 4,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-11-30,11:59 pm,25.0,5.0,2023-11-12,14,0.0,0.0,1
DT 2: Design Project M3: User Requirements Elicitation & Definition,McMaster University,4,Human Computor Interfaces,SFWRENG 4HC3,3,Group,Project,10.0,2023-11-08,11:59 pm,4.0,4.0,2023-11-07,1,30.0,5.0,5
Design Project M3: Critical Reflection,McMaster University,4,Human Computor Interfaces,SFWRENG 4HC4,3,Individual,Project,3.0,2023-11-11,11:59 pm,1.0,3.0,2023-11-08,3,50.0,1.0,4
DT 2: Design Project M3: User Requirements Elicitation & Definition,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Group,Project,10.0,2023-11-08,11:59 pm,5.0,4.0,2023-11-06,2,5.0,1.0,4
Design Project M3: Mid-Project Team Evaluations,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Project,2.0,2023-11-06,11:59 pm,1.0,1.0,2023-11-06,0,80.0,1.0,5
"Team Formed, Project Selected",McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,0.0,2023-09-18,11:59 pm,0.5,2.0,2023-09-17,1,50.0,1.0,5
Design Project M1 Critical Reflection,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Project,5.0,2023-09-22,11:59 pm,3.0,3.0,2023-09-17,5,0.0,0.0,3
Assignment 1,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-05,11:59 pm,16.0,5.0,2023-09-17,18,0.0,0.0,1
[OPTIONAL] Check-in: Interaction Critical Evaluations,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,0.0,2023-09-29,11:59 pm,6.0,4.0,2023-09-24,5,0.0,0.0,1
Assignment 1,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-05,11:59 pm,16.0,5.0,2023-09-24,11,0.0,0.0,2
"Problem Statement, POC Plan, Development Plan",McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,2.0,2023-10-02,11:59 pm,6.0,4.0,2023-09-24,8,20.0,4.0,4
Test 1,McMaster University,4,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Test Review,25.0,2023-10-06,8:30 am,2.0,3.0,2023-09-24,12,0.0,0.0,2
Midterm Test,McMaster University,4,Real-Time Systems and Control Applications,SFWRENG 4AA4,4,Individual,Test Review,25.0,2023-10-06,1:30 pm,12.0,4.0,2023-09-24,12,0.0,0.0,4
Assignment 1,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-05,11:59 pm,12.0,5.0,2023-10-01,4,20.0,3.0,5
"Problem Statement, POC Plan, Development Plan",McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,2.0,2023-10-02,11:59 pm,2.0,4.0,2023-10-01,1,80.0,8.0,4
Test 1,McMaster University,4,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Test Review,25.0,2023-10-06,8:30 am,0.0,3.0,2023-10-01,5,100.0,1.5,1
Midterm Test,McMaster University,4,Real-Time Systems and Control Applications,SFWRENG 4AA4,4,Individual,Test Review,25.0,2023-10-06,1:30 pm,10.0,4.0,2023-10-01,5,15.0,2.0,5
Assignment 2,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-25,11:59 pm,16.0,5.0,2023-10-01,24,0.0,0.0,1
Assignment 2,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-25,11:59 pm,16.0,5.0,2023-10-15,10,0.0,0.0,2
Assignment 1,McMaster University,4,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Assignment,25.0,2023-10-16,11:59 pm,8.0,4.0,2023-10-15,1,0.0,0.0,5
Hazard Analysis 0,McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,3.0,2023-10-20,11:59 pm,1.0,4.0,2023-10-15,5,0.0,0.0,2
Assignment 2,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-25,11:59 pm,12.0,5.0,2023-10-22,3,30.0,6.0,5
Interaction Critical Evaluations,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,10.0,2023-10-27,11:59 pm,14.0,4.0,2023-10-22,5,30.0,4.0,4
V&V Plan Revision 0,McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,5.0,2023-11-03,11:59 pm,15.0,4.0,2023-10-22,12,0.0,0.0,2
Assignment 3,McMaster University,4,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-11-15,11:59 pm,10.0,5.0,2023-11-14,1,20.0,4.0,5
Proof of Concept,McMaster University,4,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,5.0,2023-11-21,11:59 pm,14.0,4.0,2023-11-14,7,25.0,5.0,4
Assignment 3,McMaster University,4,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Individual,Assignment,10.0,2023-11-24,11:59 pm,10.0,5.0,2023-11-14,10,0.0,0.0,3
Design and Prototyping Exercise,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,15.0,2023-11-24,11:59 pm,12.0,4.0,2023-11-15,9,0.0,0.0,3
Proof of Concept Demonstration,McMaster University,4,Computer Science Capstone Project,COMPSCI 4ZP6A,6,Group,Project,10.0,2023-11-17,11:59 pm,14.0,5.0,2023-11-12,5,0.0,0.0,5
Assignment 3,McMaster University,4,Introduction to Machine Learning,COMPSCI 4ML3,3,Individual,Assignment,7.5,2023-11-18,11:59 pm,1.0,4.0,2023-11-12,6,90.0,7.0,4
Schematic Design,Toronto Metropolitan University,4,Integration Studio I,ASC520,3,Individual,Project,50.0,2023-12-07,12:00 pm,50.0,5.0,2023-11-13,24,0.0,0.0,3
Assignment 2,McMaster University,4,Human Computor Interfaces,SFWRENG 4HC3,3,Individual,Assigment,15.0,2023-11-27,11:59 pm,10.0,5.0,2023-11-13,14,0.0,0.0,2
Discussion #2,McMaster University,4,Regional Geography of Canada,ENVSOCTY 2OC3,3,Individual,Assigment,19.5,2023-11-20,11:59 pm,12.0,1.0,2023-11-13,7,20.0,3.0,5
Assignment 3,McMaster University,3,Scientific Computation,CIMPSCI 4XO3,3,Individual,Assigment,8.0,2023-11-15,11:59 pm,20.0,4.0,2023-11-13,2,0.0,0.0,5
Lab 4,McMaster University,2,Logic Design,COMPENG 2DI4,4,Group,Lab,6.0,2023-11-14,11:59 pm,7.0,3.0,2023-11-13,1,5.0,1.0,4
Assignment 5,McMaster University,4,Introduction to Quantum Computing ,ENGPHYS 4QC3,3,Individual,Assigment,6.0,2023-11-19,11:59 pm,3.0,3.0,2023-11-13,6,20.0,1.0,3
Lab 4,McMaster University,3,Electronic Devices and Circuits II,ELECENG 3EJ4,4,Individual,Lab,6.0,2023-11-17,11:59 pm,8.0,5.0,2023-11-13,4,0.0,0.0,5
Individual essay 2.1,University of Toronto ,4,Getting Medieval: Myths and Monsters,MST201,1,Individual,Assigment,15.0,2023-11-17,11:59 pm,25.0,3.0,2023-11-13,4,70.0,30.0,2
Group Assignment,Toronto Metropolitan University,4,Project Economics,ASC522,1,Hybrid,Assigment,40.0,2023-11-27,12:00 pm,8.0,3.0,2023-11-13,14,80.0,15.0,3
Assignment 3,McMaster University,4,Scientific Computation,COMPSCI 4X03,3,Individual,Assigment,8.0,2023-11-15,11:59 pm,5.0,4.0,2023-11-13,2,40.0,4.0,4
Test 2,McMaster University,4,Human Aging: Biological and Lifestyle Influences,KINESIOL 4SS3,3,Individual,Midterm Test,15.0,2023-11-16,11:59 pm,48.0,3.0,2023-11-13,3,0.0,0.0,3
Assignment 3,McMaster University,3,Principles of Programming Languages,COMPSCI 3MI3,3,Individual,Assigment,8.0,2023-11-20,11:59 pm,20.0,4.0,2023-11-13,7,0.0,0.0,2
Lab3,McMaster University,2,Principles of Programming,COMPENG 2SH4,4,Individual,Lab,5.0,2023-11-17,11:59 pm,20.0,5.0,2023-11-13,4,30.0,5.0,5
Report,McMaster University,4,Capstone Project,ENGPHYS 4A06,6,Group,Report,20.0,2023-11-24,11:59 pm,10.0,3.0,2023-11-13,11,0.0,0.0,2
Quiz 7,McMaster University,3,Introduction to the Practice of Music Therapy,MUSIC 2MT3,3,Individual,Quiz,5.0,2023-11-16,11:59 pm,0.5,2.0,2023-11-13,3,0.0,0.0,2
Group project ,University of Toronto ,4,Sustainable Finance,RSM 436,1,Group,Project,40.0,2023-11-17,11:59 pm,25.0,3.0,2023-11-13,4,50.0,5.0,4
Assignment 3,University of Toronto ,4,Information Security ,COMPSCI 3IS3,3,Individual,Assigment,20.0,2023-11-12,11:59 pm,1.0,4.0,2023-11-11,1,80.0,2.0,5
Assignment 3,University of Toronto ,4,Scientific Computation ,SFWRENG 4X03,3,Individual,Assigment,10.0,2023-11-15,11:59 pm,0.0,5.0,2023-11-14,1,100.0,6.0,1
Paper Presentation,University of Toronto ,6,Theoretical Foundations of Unsupervised Learning,CAS 775,3,Individual,Presentation,45.0,2023-11-22,11:59 pm,10.0,5.0,2023-11-14,8,30.0,3.0,4
Topic Presentation,University of Toronto ,6,(Micro)service-oriented architectures,CAS 735,3,Group,Presentation,20.0,2023-11-23,11:59 pm,7.0,3.0,2023-11-14,9,10.0,1.0,4
Assignment 1,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Assignment,10.0,2023-10-10,11:59 pm,2.0,2.0,2023-10-02,8,20.0,0.5,4
Assignment 2,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Assignment,10.0,2023-10-30,11:59 pm,0.33,4.0,2023-10-27,3,90.0,2.5,4
Assignment 3,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Assignment,20.0,2023-11-12,11:59 pm,3.0,5.0,2023-11-05,7,100.0,0.0,4
Quiz 1,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Quiz,1.0,2023-11-06,11:59 pm,0.1,3.0,2023-11-06,1,0.0,0.0,2
Quiz 2,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Quiz,1.0,2023-11-09,11:59 pm,0.1,3.0,2023-11-09,1,0.0,0.0,2
Quiz 3,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Quiz,1.0,2023-11-13,11:59 pm,0.1,3.0,2023-11-13,1,0.0,0.0,2
"Accounting Cycle
Assignment",McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,10.0,2023-10-02,11:59 pm,4.0,3.0,2023-09-22,10,50.0,5.0,4
Appendix C Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-10-25,11:59 pm,0.75,2.0,2023-09-19,36,50.0,0.75,1
Chapter 1 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-10-25,11:59 pm,1.5,2.0,2023-09-15,40,0.0,0.0,1
Chapter 2 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-10-25,11:59 pm,0.5,2.0,2023-09-16,39,80.0,1.0,1
Chapter 4 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-10-25,11:59 pm,0.25,2.0,2023-09-30,26,90.0,1.0,1
Chapter 5 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-10-25,11:59 pm,1.5,2.0,2023-10-06,19,0.0,0.0,1
Chapter 6 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-10-25,11:59 pm,1.5,2.0,2023-10-20,5,0.0,0.0,1
Chapter 7 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-12-06,11:59 pm,1.5,2.0,2023-10-27,40,0.0,0.0,1
Chapter 8 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-12-06,11:59 pm,1.5,2.0,2023-10-27,40,0.0,0.0,1
Chapter 9 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-12-06,11:59 pm,1.5,2.0,2023-11-03,33,0.0,0.0,1
Chapter 10 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-12-06,11:59 pm,1.5,2.0,2023-11-10,26,0.0,0.0,1
Chapter 11 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-12-06,11:59 pm,1.5,2.0,2023-11-12,24,0.0,0.0,1
Chapter 12 Assignment,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Assignment,0.83,2023-12-06,11:59 pm,1.5,2.0,2023-11-12,24,0.0,0.0,1
Midterm,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Individual,Exam Review,30.0,2023-10-26,7:00 pm,4.0,3.0,2023-10-23,3,10.0,26.0,5
Case Study,McMaster University,5,Intermediate Financial Accounting I,COMMERCE 3AB3,3,Group,Project,10.0,2023-11-29,11:59 pm,4.0,3.0,2023-11-12,17,1.0,0.5,3
Assignment 1,McMaster University,5,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-05,11:59 pm,0.5,5.0,2023-10-02,3,90.0,2.5,4
Assignment 2,McMaster University,5,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8.0,2023-10-25,11:59 pm,0.5,5.0,2023-10-20,3,90.0,2.0,4
Assignment 3,McMaster University,5,Scientific Computation,SFWRENG 4X04,3,Individual,Assignment,8.0,2023-11-16,11:59 pm,1.0,5.0,2023-11-11,4,80.0,3.0,4
Midterm,McMaster University,5,Scientific Computation,SFWRENG 4X05,3,Individual,Exam Review,20.0,2023-10-30,9:30 am,15.0,3.0,2023-10-26,4,50.0,15.0,5
"Group Details and Industry Partner
Submission Form",McMaster University,5,Engineering & Management Capstone,ENGNMGT 5B03,3,Group,Project,0.0,2023-09-15,10:00pm,0.5,1.0,2023-09-14,1,50.0,0.5,2
Project Charter,McMaster University,5,Engineering & Management Capstone,ENGNMGT 5B03,3,Group,Project,5.0,2023-10-06,10:00pm,0.1,2.0,2023-10-03,3,90.0,0.2,3
Project Proposal,McMaster University,5,Engineering & Management Capstone,ENGNMGT 5B03,3,Group,Project,15.0,2023-10-20,10:00pm,0.5,3.0,2023-10-18,2,70.0,1.0,3
Resume/CV,McMaster University,5,Engineering & Management Capstone,ENGNMGT 5B03,3,Individual,Assignment,5.0,2023-10-20,10:00pm,0.0,1.0,2023-10-18,2,0.0,1.0,4
Progress Meeting Summaries,McMaster University,5,Engineering & Management Capstone,ENGNMGT 5B03,3,Individual,Assignment,10.0,2023-11-17,10:00pm,1.0,3.0,2023-11-11,7,50.0,1.0,4
Final Presentation Slides,McMaster University,5,Engineering & Management Capstone,ENGNMGT 5B03,3,Group,Presentation,35.0,2023-11-26,10:00pm,3.0,4.0,2023-11-13,13,0.0,0.0,5
Final Client Deck,McMaster University,5,Engineering & Management Capstone,ENGNMGT 5B03,3,Group,Report,35.0,2023-12-08,10:00pm,5.0,3.0,2023-11-13,25,15.0,1.5,5
"Team Formed, Project Selected
Submission Form",McMaster University,5,Software Design IV - Capstone Design Project,SFWRENG 4G06,3,Group,Project,0.0,2023-09-18,11:59 pm,0.5,3.0,2023-09-14,4,50.0,0.5,2
"Problem Statement, POC Plan, Development Plan",McMaster University,5,Software Design IV - Capstone Design Project,SFWRENG 4G06,3,Group,Report,2.0,2023-10-11,11:59 pm,0.5,2.0,2023-10-09,2,50.0,0.5,4
SRS Revision 0,McMaster University,5,Software Design IV - Capstone Design Project,SFWRENG 4G06,3,Group,Report,5.0,2023-10-11,11:59 pm,1.0,4.0,2023-10-09,2,80.0,4.0,4
Hazard Analysis Revision 0,McMaster University,5,Software Design IV - Capstone Design Project,SFWRENG 4G06,3,Group,Report,3.0,2023-10-20,11:59 pm,0.5,3.0,2023-10-19,1,90.0,4.0,4
V&V Plan Revision 0,McMaster University,5,Software Design IV - Capstone Design Project,SFWRENG 4G06,3,Group,Report,5.0,2023-11-03,11:59 pm,0.5,3.0,2023-11-03,1,90.0,5.0,4
